No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
109,1,16,          ,1,1, ,0,3/11/2021 16:01,
110,1,50,          ,1,1, ,0,3/11/2021 16:01,
111,1,9,          ,1,1, ,0,3/11/2021 16:01,
112,1,15,          ,1,1, ,0,3/11/2021 16:01,
113,1,8,          ,1,1, ,0,3/11/2021 16:01,
114,1,26,          ,1,1, ,0,3/11/2021 16:01,
115,1,32,          ,1,1, ,0,3/11/2021 16:01,
116,1,35,          ,1,1, ,0,3/11/2021 16:01,
117,1,7,          ,1,1, ,0,3/11/2021 16:01,
118,1,31,          ,1,1, ,0,3/11/2021 16:01,
119,1,52,          ,1,1, ,0,3/11/2021 16:02,
120,1,10,          ,1,1, ,0,3/11/2021 16:02,
121,1,46,          ,1,1, ,0,3/11/2021 16:02,
122,1,2,          ,1,1, ,0,3/11/2021 16:02,
123,1,45,          ,1,1, ,0,3/11/2021 16:03,
124,1,25,          ,1,1, ,0,3/11/2021 16:03,
125,1,36,          ,1,1, ,0,3/11/2021 16:03,
126,1,21,          ,1,1, ,0,3/11/2021 16:03,
127,1,23,          ,1,1, ,0,3/11/2021 16:04,
128,1,3,          ,1,1, ,0,3/11/2021 16:04,
129,1,58,          ,1,1, ,0,3/11/2021 16:04,
130,1,24,          ,1,1, ,0,3/11/2021 16:06,
131,1,33,          ,1,1, ,0,3/11/2021 16:10,
132,1,16,          ,1,1, ,0,3/12/2021 6:39,
133,1,18,          ,1,1, ,0,3/12/2021 6:40,
134,1,56,          ,1,1, ,0,3/12/2021 6:41,
135,1,56,          ,1,1, ,0,3/12/2021 6:41,
136,1,18,          ,1,1, ,0,3/12/2021 6:41,
137,1,25,          ,1,1, ,0,3/12/2021 6:59,
138,1,40,          ,1,1, ,0,3/12/2021 7:01,
139,1,14,          ,1,1, ,0,3/12/2021 7:06,
140,1,50,          ,1,1, ,0,3/12/2021 7:06,
141,1,45,          ,1,1, ,0,3/12/2021 7:08,
142,1,51,          ,1,1, ,0,3/12/2021 7:09,
143,1,6,          ,1,1, ,0,3/12/2021 7:09,
144,1,58,          ,1,1, ,0,3/12/2021 7:09,
